time_ms,equity
1609459200000,100000.0
1610726700000,100383.40053347431
1610727000000,100533.80497266773
1610727300000,100206.83880050815
1610727600000,100213.37812395133
1610727900000,99971.42315655325
1610728200000,99906.02992212134
1610728500000,99821.01871735985
1610728800000,99814.47939391666
1610729100000,99690.23224849602
1610729400000,99703.31089538241
1610729700000,99755.62548292794
1610730000000,99716.3895422688
1610730300000,99827.55804080304
1610730600000,99853.71533457581
1610730900000,99821.01871735985
1610731200000,99683.69292505283
1610731500000,99736.00751259836
1610731800000,99618.29969062092
1610732100000,99690.23224849602
1610732400000,99775.24345325751
1610732700000,99801.40074703027
1610733000000,99768.70412981432
1610733300000,99781.7827767007
1610733600000,99749.08615948474
1610733900000,99703.31089538241
1610734200000,99650.99630783687
1610734500000,99703.31089538241
1610734800000,99650.99630783687
1610735100000,99703.31089538241
1610735400000,99729.46818915517
1610735700000,99814.47939391666
1610736000000,99847.17601113261
1610736300000,99912.56924556453
1610736600000,100049.89503787155
1610736900000,99991.04112688283
1610737200000,99892.95127523495
1610737500000,99814.47939391666
1610737800000,99912.56924556453
1610738100000,99775.24345325751
1610738400000,99762.16480637113
1610738700000,99762.16480637113
1610739000000,99696.77157193921
1610739300000,99749.08615948474
1610739600000,99814.47939391666
1610739900000,99801.40074703027
1610740200000,99840.63668768943
1610740500000,99834.09736424623
1610740800000,99919.10856900772
1610741100000,99945.26586278049
1610741400000,100043.35571442835
1610741700000,99932.18721589411
1610742000000,100036.81639098517
1610742300000,99958.34450966687
1610742600000,99938.7265393373
1610742900000,99938.7265393373
1610743200000,99958.34450966687
1610743500000,99853.71533457581
1610743800000,99768.70412981432
1610744100000,99742.54683604155
1610744400000,99742.54683604155
1610744700000,99690.23224849602
1610745000000,99690.23224849602
1610745300000,99736.00751259836
1610745600000,99736.00751259836
1610745900000,99677.15360160964
1610746200000,99637.9176609505
1610746500000,99559.4457796322
1610746800000,99611.76036717772
1610747100000,99526.74916241624
1610747400000,99579.06374996176
1610747700000,99618.29969062092
1610748000000,99598.68172029134
1610748300000,99657.53563128006
1610748600000,99683.69292505283
1610748900000,99664.07495472326
1610749200000,99657.53563128006
1610749500000,99690.23224849602
1610749800000,99683.69292505283
1610750100000,99592.14239684815
1610750400000,99513.67051552986
1610750700000,99546.36713274581
1610751000000,99794.86142358708
1610751300000,99722.92886571198
1610751600000,99873.33330490538
1610751900000,99834.09736424623
1610752200000,99847.17601113261
1610752500000,99807.94007047347
1610752800000,99722.92886571198
1610753100000,99775.24345325751
1610753400000,99729.46818915517
1610753700000,99736.00751259836
1610754000000,99703.31089538241
1610754300000,99650.99630783687
1610754600000,99657.53563128006
1610754900000,99677.15360160964
1610755200000,99579.06374996176
1610755500000,99552.06067866654
1610755800000,99506.2854145642
1610756100000,99460.51015046185
1610756400000,99525.90338489377
1610756700000,99545.52135522335
1610757000000,99486.66744423463
1610757300000,99493.20676767781
1610757600000,99499.74609112101
1610757900000,99238.17315339335
1610758200000,99225.09450650697
1610758500000,99244.71247683655
1610758800000,99303.56638782527
1610759100000,99316.64503471165
1610759400000,99362.42029881399
1610759700000,99329.72368159803
1610760000000,99388.57759258675
1610760300000,99329.72368159803
1610760600000,99303.56638782527
1610760900000,99414.73488635953
1610761200000,99382.03826914357
1610761500000,99486.66744423463
1610761800000,99440.89218013229
1610762100000,99434.35285668909
1610762400000,99453.97082701867
1610762700000,99368.95962225717
1610763000000,99421.27420980271
1610763300000,99362.42029881399
1610763600000,99512.82473800739
1610763900000,99512.82473800739
1610764200000,99519.36406145059
1610764500000,99493.20676767781
1610764800000,99584.75729588249
1610765100000,99604.37526621207
1610765400000,99519.36406145059
1610765700000,99623.99323654165
1610766000000,99617.45391309845
1610766300000,99538.98203178015
1610766600000,99552.06067866654
1610766900000,99591.29661932569
1610767200000,99584.75729588249
1610767500000,99558.60000210973
