time_ms,equity
1609459200000,100000.0
1610726700000,100388.77585734462
1610727000000,100539.18029653802
1610727300000,100212.21412437846
1610727600000,100218.75344782164
1610727900000,99976.79848042356
1610728200000,99911.40524599164
1610728500000,99826.39404123015
1610728800000,99819.85471778696
1610729100000,99695.60757236632
1610729400000,99708.6862192527
1610729700000,99761.00080679824
1610730000000,99721.76486613908
1610730300000,99832.93336467334
1610730600000,99859.0906584461
1610730900000,99826.39404123015
1610731200000,99689.06824892313
1610731500000,99741.38283646866
1610731800000,99623.67501449122
1610732100000,99695.60757236632
1610732400000,99780.6187771278
1610732700000,99806.77607090058
1610733000000,99774.07945368462
1610733300000,99787.158100571
1610733600000,99754.46148335504
1610733900000,99708.6862192527
1610734200000,99656.37163170717
1610734500000,99708.6862192527
1610734800000,99656.37163170717
1610735100000,99708.6862192527
1610735400000,99734.84351302547
1610735700000,99819.85471778696
1610736000000,99852.55133500292
1610736300000,99917.94456943484
1610736600000,100055.27036174186
1610736900000,99996.41645075312
1610737200000,99898.32659910526
1610737500000,99819.85471778696
1610737800000,99917.94456943484
1610738100000,99780.6187771278
1610738400000,99767.54013024142
1610738700000,99767.54013024142
1610739000000,99702.1468958095
1610739300000,99754.46148335504
1610739600000,99819.85471778696
1610739900000,99806.77607090058
1610740200000,99846.01201155972
1610740500000,99839.47268811654
1610740800000,99924.48389287802
1610741100000,99950.64118665078
1610741400000,100048.73103829866
1610741700000,99937.5625397644
1610742000000,100042.19171485548
1610742300000,99963.71983353716
1610742600000,99944.1018632076
1610742900000,99944.1018632076
1610743200000,99963.71983353716
1610743500000,99859.0906584461
1610743800000,99774.07945368462
1610744100000,99747.92215991186
1610744400000,99747.92215991186
1610744700000,99695.60757236632
1610745000000,99695.60757236632
1610745300000,99741.38283646866
1610745600000,99741.38283646866
1610745900000,99682.52892547994
1610746200000,99643.29298482079
1610746500000,99564.82110350249
1610746800000,99617.13569104802
1610747100000,99532.12448628653
1610747400000,99584.43907383207
1610747700000,99623.67501449122
1610748000000,99604.05704416164
1610748300000,99662.91095515036
1610748600000,99689.06824892313
1610748900000,99669.45027859356
1610749200000,99662.91095515036
1610749500000,99695.60757236632
1610749800000,99689.06824892313
1610750100000,99597.51772071845
1610750400000,99519.04583940015
1610750700000,99551.7424566161
1610751000000,99800.23674745738
1610751300000,99728.30418958228
1610751600000,99878.70862877568
1610751900000,99839.47268811654
1610752200000,99852.55133500292
1610752500000,99813.31539434376
1610752800000,99728.30418958228
1610753100000,99780.6187771278
1610753400000,99734.84351302547
1610753700000,99741.38283646866
1610754000000,99708.6862192527
1610754300000,99656.37163170717
1610754600000,99662.91095515036
1610754900000,99682.52892547994
1610755200000,99584.43907383207
1610755500000,99557.43600253684
1610755800000,99511.6607384345
1610756100000,99465.88547433216
1610756400000,99531.27870876408
1610756700000,99550.89667909365
1610757000000,99492.04276810493
1610757300000,99498.58209154812
1610757600000,99505.12141499131
1610757900000,99243.54847726364
1610758200000,99230.46983037726
1610758500000,99250.08780070684
1610758800000,99308.94171169556
1610759100000,99322.02035858195
1610759400000,99367.79562268428
1610759700000,99335.09900546834
1610760000000,99393.95291645706
1610760300000,99335.09900546834
1610760600000,99308.94171169556
1610760900000,99420.11021022982
1610761200000,99387.41359301386
1610761500000,99492.04276810493
1610761800000,99446.2675040026
1610762100000,99439.7281805594
1610762400000,99459.34615088897
1610762700000,99374.33494612748
1610763000000,99426.64953367301
1610763300000,99367.79562268428
1610763600000,99518.2000618777
1610763900000,99518.2000618777
1610764200000,99524.73938532088
1610764500000,99498.58209154812
1610764800000,99590.1326197528
1610765100000,99609.75059008237
1610765400000,99524.73938532088
1610765700000,99629.36856041195
1610766000000,99622.82923696876
1610766300000,99544.35735565046
1610766600000,99557.43600253684
1610766900000,99596.671943196
1610767200000,99590.1326197528
1610767500000,99563.97532598003
1610767800000,99583.59329630961
1610768100000,99570.51464942322
1610768400000,99550.89667909365
1610768700000,99688.22247140067
1610769000000,99629.36856041195
1610769300000,99583.59329630961
1610769600000,99622.82923696876
1610769900000,99642.44720729833
1610770200000,99688.22247140067
1610770500000,99648.98653074152
1610770800000,99629.36856041195
1610771100000,99701.30111828705
1610771400000,99629.36856041195
1610771700000,99596.671943196
1610772000000,99603.21126663918
1610772300000,99662.0651776279
1610772600000,99609.75059008237
1610772900000,99616.28991352557
1610773200000,99557.43600253684
1610773500000,99563.97532598003
1610773800000,99583.59329630961
1610774100000,99583.59329630961
1610774400000,99648.98653074152
1610774700000,99779.77299960535
1610775000000,99733.99773550301
1610775300000,99753.61570583259
1610775600000,99747.0763823894
1610775900000,99786.31232304854
1610776200000,99747.0763823894
1610776500000,99773.23367616216
1610776800000,99720.91908861663
1610777100000,99707.84044173024
1610777400000,99707.84044173024
1610777700000,99662.0651776279
1610778000000,99662.0651776279
1610778300000,99642.44720729833
1610778600000,99622.82923696876
1610778900000,99590.1326197528
1610779200000,99590.1326197528
1610779500000,99616.28991352557
1610779800000,99609.75059008237
1610780100000,99583.59329630961
1610780400000,99609.75059008237
1610780700000,99570.51464942322
1610781000000,99498.58209154812
1610781300000,99485.50344466174
1610781600000,99498.58209154812
1610781900000,99492.04276810493
1610782200000,99459.34615088897
1610782500000,99492.04276810493
1610782800000,99485.50344466174
1610783100000,99492.04276810493
1610783400000,99478.96412121854
1610783700000,99472.42479777535
1610784000000,99492.04276810493
1610784300000,99513.64111473165
1610784600000,99487.48382095889
1610784900000,99448.24788029974
1610785200000,99454.78720374293
1610785500000,99559.416378834
1610785800000,99507.10179128847
1610786100000,99350.15802865187
1610786400000,99324.0007348791
1610786700000,99324.0007348791
1610787000000,99402.4726161974
1610787300000,99382.85464586782
1610787600000,99389.39396931102
1610787900000,99389.39396931102
1610788200000,99343.61870520868
1610788500000,99304.38276454953
1610788800000,99324.0007348791
1610789100000,99317.46141143591
1610789400000,99324.0007348791
1610789700000,99297.84344110634
1610790000000,99278.22547077676
1610790300000,99310.92208799272
1610790600000,99278.22547077676
1610790900000,99291.30411766314
1610791200000,99225.91088323123
1610791500000,99186.67494257208
1610791800000,99016.96973656725
1610792100000,99016.96973656725
1610792400000,99016.96973656725
1610792700000,99016.96973656725
1610793000000,99016.96973656725
1610793300000,99016.96973656725
1610793600000,99016.96973656725
1610793900000,99016.96973656725
1610794200000,99016.96973656725
1610794500000,99016.96973656725
1610794800000,99016.96973656725
1610795100000,99016.96973656725
1610795400000,99016.96973656725
1610795700000,99016.96973656725
1610796000000,99016.96973656725
1610796300000,99016.96973656725
1610796600000,99016.96973656725
1610796900000,99016.96973656725
1610797200000,99016.96973656725
1610797500000,99016.96973656725
1610797800000,99016.96973656725
1610798100000,99016.96973656725
1610798400000,99016.96973656725
1611633900000,98695.50039304646
1611634200000,98651.24586137416
1611634500000,98695.50039304646
1611634800000,98562.73679802955
1611635100000,98606.99132970185
1611635400000,98562.73679802955
1611635700000,98562.73679802955
1611636000000,98518.48226635724
1611636300000,98407.84593717649
1611636600000,98319.33687383188
1611636900000,98252.95507632341
1611637200000,98363.59140550418
1611637500000,98341.46413966802
1611637800000,98319.33687383188
1611638100000,98230.82781048726
1611638400000,98208.70054465112
1611638700000,98252.95507632341
1611639000000,98275.08234215957
1611639300000,98230.82781048726
1611639600000,98164.4460129788
1611639900000,98098.06421547035
1611640200000,98031.68241796189
1611640500000,98098.06421547035
1611640800000,98120.19148130651
1611641100000,98275.08234215957
1611641400000,98297.20960799573
1611641700000,98341.46413966802
1611642000000,98252.95507632341
1611642300000,98341.46413966802
1611642600000,98385.71867134032
1611642900000,98363.59140550418
1611643200000,98385.71867134032
1611643500000,98651.24586137416
1611643800000,98407.84593717649
1611644100000,98474.22773468493
1611644400000,98540.6095321934
1611644700000,98584.8640638657
1611645000000,98606.99132970185
1611645300000,98606.99132970185
1611645600000,98717.6276588826
1611645900000,98961.02758308029
1611646200000,98872.51851973568
1611646500000,98872.51851973568
1611646800000,98872.51851973568
1611647100000,98806.13672222722
1611647400000,98629.118595538
1611647700000,98584.8640638657
1611648000000,98518.48226635724
1611648300000,98721.65480312043
1611648600000,98522.50941059506
1611648900000,98478.25487892276
1611649200000,98434.00034725046
1611649500000,98434.00034725046
1611649800000,98456.1276130866
1611650100000,98389.74581557815
1611650400000,97615.29151131283
1611650700000,97770.18237216589
1611651000000,97969.32776469126
1611651300000,97991.45503052742
1611651600000,98013.58229636356
1611651900000,98013.58229636356
1611652200000,98146.34589138048
1611652500000,98168.47315721662
1611652800000,98411.87308141429
1611653100000,98500.3821447589
1611653400000,98633.14573977582
1611653700000,98544.63667643121
1611654000000,98655.27300561198
1611654300000,98743.78206895657
1611654600000,98965.0547273181
1611654900000,98898.67292980965
1611655200000,98611.01847393966
1611655500000,98411.87308141429
1611655800000,98566.76394226737
1611656100000,98655.27300561198
1611656400000,98522.50941059506
1611656700000,98323.3640180697
1611657000000,98345.49128390585
1611657300000,98323.3640180697
1611657600000,98234.85495472509
1611657900000,98279.10948639738
1611658200000,98301.23675223354
1611658500000,98345.49128390585
1611658800000,98345.49128390585
1611659100000,98456.1276130866
1611659400000,98456.1276130866
1611659700000,98434.00034725046
1611660000000,98389.74581557815
1611660300000,98478.25487892276
1611660600000,98478.25487892276
1611660900000,98633.14573977582
1611661200000,98522.50941059506
1611661500000,98434.00034725046
1611661800000,98677.40027144813
1611662100000,98655.27300561198
1611662400000,98655.27300561198
1611662700000,98588.89120810352
1611663000000,98677.40027144813
1611663300000,98611.01847393966
1611663600000,98677.40027144813
1611663900000,98832.2911323012
1611664200000,98721.65480312043
1611664500000,98788.03660062888
1611664800000,98699.52753728427
1611665100000,98677.40027144813
1611665400000,98743.78206895657
1611665700000,99031.43652482655
1611666000000,99252.70918318808
1611666300000,99429.7273098773
1611666600000,99296.96371486038
1611666900000,99142.07285400732
1611667200000,99119.94558817118
1611667500000,99186.32738567961
1611667800000,99319.09098069655
1611668100000,99186.32738567961
1611668400000,99252.70918318808
1611668700000,99296.96371486038
1611669000000,99031.43652482655
1611669300000,99252.70918318808
1611669600000,99252.70918318808
1611669900000,99119.94558817118
1611670200000,99385.47277820499
1611670500000,99252.70918318808
1611670800000,99274.83644902424
1611671100000,99319.09098069655
1611671400000,99407.60004404114
1611671700000,99628.87270240266
1611672000000,99938.6544241088
1611672300000,100027.1634874534
1611672600000,99916.52715827264
1611672900000,99872.27262660034
1611673200000,99805.89082909189
1611673500000,99540.36363905807
1611673800000,99363.34551236885
1611674100000,99274.83644902424
1611674400000,99319.09098069655
1611674700000,99363.34551236885
1611675000000,99252.70918318808
1611675300000,99142.07285400732
1611675600000,99075.69105649886
1611675900000,99075.69105649886
1611676200000,99164.20011984347
1611676500000,99164.20011984347
1611676800000,99296.96371486038
1611677100000,99248.25881980879
1611677400000,99292.5133514811
1611677700000,99668.6768706957
1611678000000,99735.05866820413
1611678300000,99513.78600984262
1611678600000,99292.5133514811
1611678900000,99093.36795895573
1611679200000,99004.85889561112
1611679500000,99093.36795895573
1611679800000,98894.22256643037
1611680100000,98872.0953005942
1611680400000,98894.22256643037
1611680700000,98805.71350308575
1611681000000,98805.71350308575
1611681300000,98827.8407689219
1611681600000,98872.0953005942
1611681900000,98518.05904721576
1611682200000,98606.56811056039
1611682500000,98695.077173905
1611682800000,98849.96803475806
1611683100000,98872.0953005942
1611683400000,98739.3317055773
1611683700000,98518.05904721576
1611684000000,98518.05904721576
1611684300000,98672.94990806884
1611684600000,98739.3317055773
1611684900000,98695.077173905
1611685200000,98606.56811056039
1611685500000,98717.20443974114
1611685800000,98584.44084472423
1611686100000,98385.29545219886
1611686400000,98584.44084472423
1611686700000,98672.94990806884
1611687000000,98650.82264223268
1611687300000,98628.69537639653
1611687600000,98451.67724970733
1611687900000,98318.9136546904
1611688200000,98186.15005967348
1611688500000,98318.9136546904
1611688800000,98429.54998387115
1611689100000,98451.67724970733
1611689400000,98495.93178137962
1611689700000,98385.29545219886
1611690000000,98495.93178137962
1611690300000,98341.04092052656
1611690600000,98473.80451554347
1611690900000,98385.29545219886
1611691200000,98407.42271803501
1611691500000,98252.53185718195
1611691800000,98230.4045913458
1611692100000,98141.89552800119
1611692400000,98296.78638885425
1611692700000,98363.16818636272
1611693000000,98429.54998387115
1611693300000,98606.56811056039
1611693600000,98562.31357888808
1611693900000,98628.69537639653
1611694200000,98562.31357888808
1611694500000,98650.82264223268
1611694800000,98540.18631305192
1611695100000,98584.44084472423
1611695400000,98518.05904721576
1611695700000,98429.54998387115
1611696000000,98584.44084472423
1611696300000,98363.16818636272
1611696600000,98341.04092052656
1611696900000,98341.04092052656
1611697200000,98407.42271803501
1611697500000,98341.04092052656
1611697800000,98451.67724970733
1611698100000,98407.42271803501
1611698400000,98518.05904721576
1611698700000,98473.80451554347
1611699000000,98518.05904721576
1611699300000,98385.29545219886
1611699600000,98341.04092052656
1611699900000,98562.31357888808
1611700200000,98208.27732550964
1611700500000,98252.53185718195
1611700800000,98208.27732550964
1611701100000,98208.27732550964
1611701400000,98230.4045913458
1611701700000,98208.27732550964
1611702000000,98031.25919882042
1611702300000,97898.49560380352
1611702600000,97854.2410721312
1611702900000,97942.75013547581
1611703200000,97832.11380629505
1611703500000,97832.11380629505
1611703800000,97876.36833796736
1611704100000,97964.87740131197
1611704400000,98031.25919882042
1611704700000,98053.38646465658
1611705000000,98097.64099632888
1611705300000,98075.51373049272
1611705600000,98053.38646465658
1611705900000,98202.98825976082
1611706200000,98313.62458894159
1611706500000,98313.62458894159
1611706800000,98291.49732310543
1611707100000,98269.37005726929
1611707400000,98269.37005726929
1611707700000,98313.62458894159
1611708000000,98446.3881839585
1611708300000,98247.24279143313
1611708600000,98335.75185477774
1611708900000,98468.51544979466
1611709200000,98247.24279143313
1611709500000,98534.8972473031
1611709800000,98534.8972473031
1611710100000,98446.3881839585
1611710400000,98490.6427156308
1611710700000,98557.02451313926
1611711000000,98623.40631064773
1611711300000,98490.6427156308
1611711600000,98623.40631064773
1611711900000,98645.53357648387
1611712200000,98778.29717150077
1611712500000,98756.16990566463
1611712800000,98689.78810815618
1611713100000,98623.40631064773
1611713400000,98601.27904481157
1611713700000,98623.40631064773
1611714000000,98534.8972473031
1611714300000,98512.76998146696
1611714600000,98645.53357648387
1611714900000,98734.04263982848
1611715200000,98734.04263982848
1611715500000,98645.53357648387
1611715800000,98601.27904481157
1611716100000,98645.53357648387
1611716400000,98999.5698298623
1611716700000,98689.78810815618
1611717000000,98844.67896900924
1611717300000,98911.06076651771
1611717600000,98933.18803235385
1611717900000,98955.31529819
1611718200000,98866.8062348454
1611718500000,98955.31529819
1611718800000,98977.44256402615
1611719100000,98933.18803235385
1611719400000,98977.44256402615
1611719700000,98888.93350068154
1611720000000,98911.06076651771
1611720300000,99110.20615904307
1611720600000,99043.82436153461
1611720900000,99088.07889320691
1611721200000,98888.93350068154
1611721500000,98756.16990566463
1611721800000,98623.40631064773
1611722100000,98800.42443733694
1611722400000,98800.42443733694
1611722700000,98778.29717150077
1611723000000,98800.42443733694
1611723300000,98844.67896900924
1611723600000,98866.8062348454
1611723900000,99043.82436153461
1611724200000,99021.69709569846
1611724500000,99065.95162737076
1611724800000,99110.20615904307
1611725100000,99353.60608324075
1611725400000,99375.7333490769
1611725700000,99397.86061491305
1611726000000,99530.62420992996
1611726300000,99552.75147576611
1611726600000,99397.86061491305
1611726900000,99464.2424124215
1611727200000,99508.4969440938
1611727500000,99442.11514658535
1611727800000,99353.60608324075
1611728100000,99597.00600743842
1611728400000,99287.22428573229
1611728700000,99530.62420992996
1611729000000,99729.76960245533
1611729300000,99242.96975405999
1611729600000,99198.71522238768
1611729900000,99331.47881740458
1611730200000,99154.46069071538
1611730500000,99287.22428573229
1611730800000,99176.58795655152
1611731100000,99198.71522238768
1611731400000,99375.7333490769
1611731700000,99265.09701989613
1611732000000,99043.82436153461
1611732300000,98977.44256402615
1611732600000,98866.8062348454
1611732900000,98999.5698298623
1611733200000,98999.5698298623
1611733500000,99110.20615904307
1611733800000,99154.46069071538
1611734100000,99154.46069071538
1611734400000,99154.46069071538
1611734700000,99458.36641917619
1611735000000,99414.1118875039
1611735300000,99480.49368501235
1611735600000,99391.98462166774
1611735900000,99436.23915334004
1611736200000,99347.73008999543
1611736500000,99635.38454586541
1611736800000,99746.02087504618
1611737100000,99856.65720422694
1611737400000,99812.40267255463
1611737700000,99923.0390017354
1611738000000,100100.05712842461
1611738300000,100011.54806507999
1611738600000,100498.34791347534
1611738900000,100608.98424265611
1611739200000,100741.74783767301
1611739500000,100830.25690101764
1611739800000,100852.38416685378
1611740100000,100675.36604016456
1611740400000,100741.74783767301
1611740700000,100719.62057183687
1611741000000,100808.12963518148
1611741300000,100963.02049603454
1611741600000,100786.00236934533
1611741900000,100808.12963518148
1611742200000,100940.89323019839
1611742500000,100852.38416685378
1611742800000,100963.02049603454
1611743100000,100786.00236934533
1611743400000,100564.7297109838
1611743700000,100786.00236934533
1611744000000,100808.12963518148
1611744300000,100808.12963518148
1611744600000,101073.65682521531
1611744900000,100963.02049603454
1611745200000,100741.74783767301
1611745500000,100387.7115842946
1611745800000,100343.45705262228
1611746100000,100277.07525511383
1611746400000,100343.45705262228
1611746700000,100254.94798927767
1611747000000,100343.45705262228
1611747300000,100476.2206476392
1611747600000,100431.96611596689
1611747900000,100874.51143268993
1611748200000,101095.78409105145
1611748500000,101427.69307859373
1611748800000,101693.22026862756
