time_ms,equity
1609459200000,100000.0
1610726700000,100374.4461397937
1610727000000,100524.85057898711
1610727300000,100197.88440682754
1610727600000,100204.42373027072
1610727900000,99962.46876287264
1610728200000,99897.07552844072
1610728500000,99812.06432367924
1610728800000,99805.52500023604
1610729100000,99681.2778548154
1610729400000,99694.3565017018
1610729700000,99746.67108924732
1610730000000,99707.43514858818
1610730300000,99818.60364712242
1610730600000,99844.7609408952
1610730900000,99812.06432367924
1610731200000,99674.73853137222
1610731500000,99727.05311891774
1610731800000,99609.3452969403
1610732100000,99681.2778548154
1610732400000,99766.2890595769
1610732700000,99792.44635334966
1610733000000,99759.7497361337
1610733300000,99772.82838302008
1610733600000,99740.13176580412
1610733900000,99694.3565017018
1610734200000,99642.04191415626
1610734500000,99694.3565017018
1610734800000,99642.04191415626
1610735100000,99694.3565017018
1610735400000,99720.51379547456
1610735700000,99805.52500023604
1610736000000,99838.221617452
1610736300000,99903.61485188392
1610736600000,100040.94064419094
1610736900000,99982.08673320222
1610737200000,99883.99688155434
1610737500000,99805.52500023604
1610737800000,99903.61485188392
1610738100000,99766.2890595769
1610738400000,99753.21041269052
1610738700000,99753.21041269052
1610739000000,99687.8171782586
1610739300000,99740.13176580412
1610739600000,99805.52500023604
1610739900000,99792.44635334966
1610740200000,99831.68229400882
1610740500000,99825.14297056562
1610740800000,99910.1541753271
1610741100000,99936.31146909988
1610741400000,100034.40132074774
1610741700000,99923.2328222135
1610742000000,100027.86199730456
1610742300000,99949.39011598626
1610742600000,99929.77214565668
1610742900000,99929.77214565668
1610743200000,99949.39011598626
1610743500000,99844.7609408952
1610743800000,99759.7497361337
1610744100000,99733.59244236094
1610744400000,99733.59244236094
1610744700000,99681.2778548154
1610745000000,99681.2778548154
1610745300000,99727.05311891774
1610745600000,99727.05311891774
1610745900000,99668.19920792902
1610746200000,99628.96326726988
1610746500000,99550.49138595158
1610746800000,99602.8059734971
1610747100000,99517.79476873562
1610747400000,99570.10935628114
1610747700000,99609.3452969403
1610748000000,99589.72732661072
1610748300000,99648.58123759944
1610748600000,99674.73853137222
1610748900000,99655.12056104264
1610749200000,99648.58123759944
1610749500000,99681.2778548154
1610749800000,99674.73853137222
1610750100000,99583.18800316754
1610750400000,99504.71612184924
1610750700000,99537.4127390652
1610751000000,99785.90702990646
1610751300000,99713.97447203136
1610751600000,99864.37891122476
1610751900000,99825.14297056562
1610752200000,99838.221617452
1610752500000,99798.98567679286
1610752800000,99713.97447203136
1610753100000,99766.2890595769
1610753400000,99720.51379547456
1610753700000,99727.05311891774
1610754000000,99694.3565017018
1610754300000,99642.04191415626
1610754600000,99648.58123759944
1610754900000,99668.19920792902
1610755200000,99570.10935628114
1610755500000,99543.10628498593
1610755800000,99497.33102088359
1610756100000,99451.55575678124
1610756400000,99516.94899121315
1610756700000,99536.56696154273
1610757000000,99477.71305055401
1610757300000,99484.2523739972
1610757600000,99490.79169744039
1610757900000,99229.21875971273
1610758200000,99216.14011282635
1610758500000,99235.75808315593
1610758800000,99294.61199414465
1610759100000,99307.69064103103
1610759400000,99353.46590513337
1610759700000,99320.76928791741
1610760000000,99379.62319890613
1610760300000,99320.76928791741
1610760600000,99294.61199414465
1610760900000,99405.78049267891
1610761200000,99373.08387546295
1610761500000,99477.71305055401
1610761800000,99431.93778645167
1610762100000,99425.39846300847
1610762400000,99445.01643333805
1610762700000,99360.00522857656
1610763000000,99412.3198161221
1610763300000,99353.46590513337
1610763600000,99503.87034432677
1610763900000,99503.87034432677
1610764200000,99510.40966776997
1610764500000,99484.2523739972
1610764800000,99575.80290220187
1610765100000,99595.42087253145
1610765400000,99510.40966776997
1610765700000,99615.03884286103
1610766000000,99608.49951941783
1610766300000,99530.02763809953
1610766600000,99543.10628498593
1610766900000,99582.34222564507
1610767200000,99575.80290220187
1610767500000,99549.64560842911
1610767800000,99569.26357875869
1610768100000,99556.18493187231
1610768400000,99536.56696154273
1610768700000,99673.89275384975
1610769000000,99615.03884286103
1610769300000,99569.26357875869
1610769600000,99608.49951941783
1610769900000,99628.11748974741
1610770200000,99673.89275384975
1610770500000,99634.65681319061
1610770800000,99615.03884286103
1610771100000,99686.97140073613
1610771400000,99615.03884286103
1610771700000,99582.34222564507
1610772000000,99588.88154908827
1610772300000,99647.73546007699
1610772600000,99595.42087253145
1610772900000,99601.96019597465
1610773200000,99543.10628498593
1610773500000,99549.64560842911
1610773800000,99569.26357875869
1610774100000,99569.26357875869
1610774400000,99634.65681319061
1610774700000,99765.44328205443
1610775000000,99719.66801795209
1610775300000,99739.28598828167
1610775600000,99732.74666483847
1610775900000,99771.98260549763
1610776200000,99732.74666483847
1610776500000,99758.90395861125
1610776800000,99706.58937106571
1610777100000,99693.51072417933
1610777400000,99693.51072417933
1610777700000,99647.73546007699
1610778000000,99647.73546007699
1610778300000,99628.11748974741
1610778600000,99608.49951941783
1610778900000,99575.80290220187
1610779200000,99575.80290220187
1610779500000,99601.96019597465
1610779800000,99595.42087253145
1610780100000,99569.26357875869
1610780400000,99595.42087253145
1610780700000,99556.18493187231
1610781000000,99484.2523739972
1610781300000,99471.17372711081
1610781600000,99484.2523739972
1610781900000,99477.71305055401
1610782200000,99445.01643333805
1610782500000,99477.71305055401
1610782800000,99471.17372711081
1610783100000,99477.71305055401
1610783400000,99464.63440366763
1610783700000,99458.09508022443
1610784000000,99477.71305055401
1610784300000,99499.31139718073
1610784600000,99473.15410340797
1610784900000,99433.91816274883
1610785200000,99440.45748619201
1610785500000,99545.08666128307
1610785800000,99492.77207373755
1610786100000,99335.82831110095
1610786400000,99309.67101732819
1610786700000,99309.67101732819
1610787000000,99388.14289864649
1610787300000,99368.52492831691
